# ----------------------------------------
# fellgernon.tumblr.com
# Audience Overview
# 20111119-20130227
# ----------------------------------------

Day,Visits
11/19/11,16
11/20/11,21
11/21/11,8
11/22/11,4
11/23/11,16
11/24/11,1
11/25/11,0
11/26/11,4
11/27/11,1
11/28/11,3
11/29/11,3
11/30/11,12
12/1/11,1
12/2/11,4
12/3/11,11
12/4/11,27
12/5/11,10
12/6/11,3
12/7/11,10
12/8/11,8
12/9/11,16
12/10/11,7
12/11/11,7
12/12/11,8
12/13/11,5
12/14/11,7
12/15/11,17
12/16/11,5
12/17/11,2
12/18/11,4
12/19/11,1
12/20/11,1
12/21/11,17
12/22/11,13
12/23/11,1
12/24/11,0
12/25/11,4
12/26/11,0
12/27/11,2
12/28/11,1
12/29/11,0
12/30/11,0
12/31/11,0
1/1/12,1
1/2/12,2
1/3/12,3
1/4/12,2
1/5/12,0
1/6/12,13
1/7/12,3
1/8/12,0
1/9/12,2
1/10/12,1
1/11/12,1
1/12/12,4
1/13/12,3
1/14/12,3
1/15/12,3
1/16/12,0
1/17/12,9
1/18/12,7
1/19/12,7
1/20/12,12
1/21/12,2
1/22/12,1
1/23/12,36
1/24/12,16
1/25/12,64
1/26/12,22
1/27/12,16
1/28/12,6
1/29/12,14
1/30/12,14
1/31/12,15
2/1/12,8
2/2/12,3
2/3/12,6
2/4/12,2
2/5/12,8
2/6/12,5
2/7/12,6
2/8/12,4
2/9/12,8
2/10/12,2
2/11/12,4
2/12/12,58
2/13/12,29
2/14/12,12
2/15/12,8
2/16/12,6
2/17/12,6
2/18/12,0
2/19/12,5
2/20/12,3
2/21/12,15
2/22/12,2
2/23/12,14
2/24/12,10
2/25/12,7
2/26/12,3
2/27/12,3
2/28/12,1
2/29/12,1
3/1/12,4
3/2/12,1
3/3/12,0
3/4/12,1
3/5/12,0
3/6/12,3
3/7/12,8
3/8/12,17
3/9/12,3
3/10/12,1
3/11/12,2
3/12/12,1
3/13/12,2
3/14/12,2
3/15/12,2
3/16/12,0
3/17/12,1
3/18/12,3
3/19/12,1
3/20/12,2
3/21/12,2
3/22/12,0
3/23/12,2
3/24/12,1
3/25/12,2
3/26/12,0
3/27/12,1
3/28/12,4
3/29/12,1
3/30/12,0
3/31/12,1
4/1/12,1
4/2/12,0
4/3/12,0
4/4/12,1
4/5/12,0
4/6/12,0
4/7/12,0
4/8/12,1
4/9/12,3
4/10/12,0
4/11/12,2
4/12/12,2
4/13/12,1
4/14/12,3
4/15/12,5
4/16/12,6
4/17/12,0
4/18/12,1
4/19/12,2
4/20/12,3
4/21/12,7
4/22/12,3
4/23/12,3
4/24/12,4
4/25/12,10
4/26/12,2
4/27/12,6
4/28/12,11
4/29/12,11
4/30/12,7
5/1/12,7
5/2/12,3
5/3/12,2
5/4/12,3
5/5/12,1
5/6/12,2
5/7/12,7
5/8/12,5
5/9/12,1
5/10/12,11
5/11/12,28
5/12/12,9
5/13/12,6
5/14/12,4
5/15/12,7
5/16/12,6
5/17/12,2
5/18/12,1
5/19/12,0
5/20/12,0
5/21/12,0
5/22/12,1
5/23/12,0
5/24/12,0
5/25/12,0
5/26/12,0
5/27/12,1
5/28/12,2
5/29/12,2
5/30/12,4
5/31/12,2
6/1/12,1
6/2/12,0
6/3/12,1
6/4/12,0
6/5/12,4
6/6/12,3
6/7/12,2
6/8/12,0
6/9/12,1
6/10/12,3
6/11/12,1
6/12/12,2
6/13/12,0
6/14/12,2
6/15/12,0
6/16/12,0
6/17/12,0
6/18/12,0
6/19/12,3
6/20/12,0
6/21/12,0
6/22/12,1
6/23/12,0
6/24/12,2
6/25/12,0
6/26/12,2
6/27/12,2
6/28/12,1
6/29/12,0
6/30/12,0
7/1/12,2
7/2/12,2
7/3/12,0
7/4/12,0
7/5/12,0
7/6/12,1
7/7/12,0
7/8/12,1
7/9/12,0
7/10/12,1
7/11/12,1
7/12/12,4
7/13/12,2
7/14/12,1
7/15/12,3
7/16/12,1
7/17/12,2
7/18/12,1
7/19/12,2
7/20/12,2
7/21/12,4
7/22/12,0
7/23/12,1
7/24/12,1
7/25/12,1
7/26/12,3
7/27/12,0
7/28/12,0
7/29/12,1
7/30/12,0
7/31/12,1
8/1/12,9
8/2/12,1
8/3/12,2
8/4/12,0
8/5/12,1
8/6/12,1
8/7/12,1
8/8/12,9
8/9/12,5
8/10/12,0
8/11/12,2
8/12/12,0
8/13/12,0
8/14/12,1
8/15/12,6
8/16/12,16
8/17/12,4
8/18/12,4
8/19/12,0
8/20/12,6
8/21/12,4
8/22/12,3
8/23/12,10
8/24/12,16
8/25/12,8
8/26/12,11
8/27/12,7
8/28/12,4
8/29/12,1
8/30/12,6
8/31/12,0
9/1/12,2
9/2/12,3
9/3/12,2
9/4/12,0
9/5/12,11
9/6/12,2
9/7/12,3
9/8/12,2
9/9/12,1
9/10/12,1
9/11/12,1
9/12/12,1
9/13/12,1
9/14/12,2
9/15/12,0
9/16/12,0
9/17/12,1
9/18/12,16
9/19/12,1
9/20/12,7
9/21/12,3
9/22/12,1
9/23/12,1
9/24/12,6
9/25/12,0
9/26/12,0
9/27/12,1
9/28/12,15
9/29/12,4
9/30/12,4
10/1/12,11
10/2/12,20
10/3/12,24
10/4/12,4
10/5/12,1
10/6/12,2
10/7/12,6
10/8/12,6
10/9/12,20
10/10/12,4
10/11/12,5
10/12/12,6
10/13/12,2
10/14/12,5
10/15/12,6
10/16/12,0
10/17/12,1
10/18/12,0
10/19/12,13
10/20/12,6
10/21/12,3
10/22/12,2
10/23/12,3
10/24/12,6
10/25/12,2
10/26/12,5
10/27/12,4
10/28/12,3
10/29/12,6
10/30/12,22
10/31/12,13
11/1/12,9
11/2/12,10
11/3/12,27
11/4/12,26
11/5/12,20
11/6/12,15
11/7/12,25
11/8/12,47
11/9/12,28
11/10/12,7
11/11/12,1
11/12/12,15
11/13/12,19
11/14/12,4
11/15/12,2
11/16/12,4
11/17/12,4
11/18/12,6
11/19/12,5
11/20/12,7
11/21/12,5
11/22/12,4
11/23/12,7
11/24/12,2
11/25/12,5
11/26/12,4
11/27/12,11
11/28/12,25
11/29/12,8
11/30/12,6
12/1/12,2
12/2/12,5
12/3/12,4
12/4/12,31
12/5/12,21
12/6/12,5
12/7/12,3
12/8/12,5
12/9/12,5
12/10/12,5
12/11/12,2
12/12/12,7
12/13/12,3
12/14/12,0
12/15/12,6
12/16/12,1
12/17/12,5
12/18/12,4
12/19/12,1
12/20/12,2
12/21/12,2
12/22/12,0
12/23/12,2
12/24/12,2
12/25/12,2
12/26/12,2
12/27/12,2
12/28/12,1
12/29/12,5
12/30/12,0
12/31/12,0
1/1/13,3
1/2/13,4
1/3/13,0
1/4/13,3
1/5/13,2
1/6/13,0
1/7/13,1
1/8/13,3
1/9/13,4
1/10/13,3
1/11/13,4
1/12/13,3
1/13/13,39
1/14/13,1
1/15/13,6
1/16/13,8
1/17/13,3
1/18/13,0
1/19/13,0
1/20/13,2
1/21/13,5
1/22/13,0
1/23/13,4
1/24/13,5
1/25/13,4
1/26/13,1
1/27/13,3
1/28/13,8
1/29/13,5
1/30/13,1
1/31/13,5
2/1/13,2
2/2/13,2
2/3/13,4
2/4/13,2
2/5/13,4
2/6/13,5
2/7/13,3
2/8/13,1
2/9/13,1
2/10/13,0
2/11/13,3
2/12/13,3
2/13/13,7
2/14/13,7
2/15/13,6
2/16/13,0
2/17/13,2
2/18/13,2
2/19/13,4
2/20/13,0
2/21/13,2
2/22/13,1
2/23/13,4
2/24/13,4
2/25/13,1
2/26/13,2
2/27/13,0
,"2,287"

